DB100,X182.7;364_No.46 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X183.0;365_No.47 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X183.1;366_No.47 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X183.2;367_No.47 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X183.3;368_No.47 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X183.4;369_No.48 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X183.5;370_No.48 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X183.6;371_No.48 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X183.7;372_No.48 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X184.0;373_No.49 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X184.1;374_No.49 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X184.2;375_No.49 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X184.3;376_No.49 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X184.4;377_No.50 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X184.5;378_No.50 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X184.6;379_No.50 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X184.7;380_No.50 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X185.0;381_No.51 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X185.1;382_No.51 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X185.2;383_No.51 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X185.3;384_No.51 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X185.4;385_No.52 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X185.5;386_No.52 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X185.6;387_No.52 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
